MESS_DATUM;FX;FM;RSK;RSKF;SDK;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK
19690701;4.8;1.1;0.0;0;0;4.7;14.1;1013.10;19.0;65.00;24.0;10.2;8.2
19690702;6.7;2.1;0.0;0;0;2.0;15.6;1012.80;21.4;62.00;26.3;13.6;11.4
19690703;6.1;1.9;0.0;0;0;5.3;17.6;1016.20;20.2;74.00;24.7;14.6;12.9
19690704;6.8;2.1;0.0;0;0;2.7;11.7;1017.10;18.3;57.00;23.9;14.1;13.4
19690705;9.0;3.7;0.0;0;0;5.3;14.0;1013.20;19.4;62.00;25.2;14.6;12.6
19690706;6.4;2.0;17.2;1;0;7.0;14.0;1008.40;19.9;61.00;24.1;12.5;11.2
19690707;20.0;7.3;1.3;1;0;7.7;12.3;1001.90;13.2;77.00;19.5;11.2;15.0
19690708;10.8;4.3;5.3;1;0;7.0;11.9;1009.90;13.2;78.00;16.0;10.4;9.2
19690709;11.8;2.8;3.1;1;0;5.3;11.7;1013.90;12.0;85.00;15.9;10.0;9.2
19690710;11.1;2.5;1.9;1;0;7.0;12.0;1020.40;13.3;78.00;16.7;10.0;9.0
19690711;13.7;4.2;13.6;1;0;7.3;14.0;1019.60;13.9;87.00;17.6;10.5;9.3
19690712;8.0;3.2;0.0;1;0;6.7;14.7;1024.30;17.1;76.00;20.6;10.5;8.6
19690713;11.1;3.1;0.0;1;0;6.3;16.1;1024.80;18.0;78.00;23.1;14.1;14.3
19690714;6.5;2.2;0.0;0;0;5.3;14.9;1025.20;16.1;81.00;18.8;12.6;10.8
19690715;8.5;2.9;0.0;0;0;0.0;14.3;1020.40;21.5;57.00;28.4;11.1;8.4
19690716;23.7;5.1;14.5;1;0;3.7;17.9;1014.30;25.0;55.00;32.3;17.0;13.1
19690717;8.2;3.2;0.0;0;0;6.0;19.1;1018.40;19.4;85.00;24.0;16.1;14.5
19690718;5.7;1.3;0.0;0;0;3.3;14.1;1021.60;19.1;64.00;24.6;12.0;10.1
19690719;8.3;2.8;0.0;0;0;2.3;14.1;1019.00;20.5;61.00;25.8;13.3;12.6
19690720;11.1;4.1;0.0;0;0;5.3;16.4;1018.60;19.1;73.00;23.5;17.0;17.3
19690721;6.1;1.9;0.0;0;0;5.3;18.0;1018.40;20.7;74.00;26.0;14.5;13.4
19690722;6.0;1.7;0.0;0;0;0.3;19.6;1016.00;23.2;70.00;28.8;15.1;14.0
19690723;9.2;2.5;0.0;0;0;3.0;20.4;1013.80;25.4;63.00;32.7;16.6;15.0
19690724;11.9;3.1;0.5;1;0;6.0;20.3;1012.30;24.7;63.00;33.3;20.7;17.7
19690725;8.0;2.4;0.0;0;0;8.0;20.5;1017.40;21.0;83.00;23.3;17.9;16.4
19690726;5.0;1.4;0.0;1;0;6.3;21.3;1016.40;21.8;81.00;26.1;18.1;17.3
19690727;8.0;2.0;0.0;0;0;3.3;19.3;1017.50;22.4;71.00;26.8;18.7;17.0
19690728;7.0;2.0;0.0;0;0;2.3;20.0;1012.80;25.3;65.00;31.2;15.4;14.4
19690729;13.0;4.8;0.0;0;0;1.3;18.3;1007.50;24.2;58.00;31.9;20.7;19.3
19690730;8.9;2.7;0.0;0;0;7.3;18.0;1015.00;20.8;75.00;25.3;16.3;15.1
19690731;9.7;2.9;7.9;1;0;5.7;18.8;1013.60;19.0;84.00;24.9;17.8;17.8
19690801;9.4;1.8;7.9;1;0;4.7;18.9;1008.40;22.9;71.00;30.2;15.5;14.2
19690802;12.2;3.1;6.2;1;0;3.0;19.3;1007.90;22.9;68.00;31.0;19.2;16.2
19690803;6.4;2.2;0.0;0;0;5.0;17.1;1013.00;21.0;70.00;26.2;17.1;16.4
19690804;5.2;1.5;0.0;0;0;0.3;16.7;1016.30;21.9;65.00;29.6;15.0;12.9
19690805;11.2;2.0;0.0;0;0;3.3;18.9;1016.40;23.8;64.00;31.1;16.9;14.5
19690806;8.0;3.1;0.0;0;0;4.7;17.7;1019.20;21.0;72.00;25.9;18.1;16.4
19690807;8.8;2.7;0.0;0;0;3.3;14.0;1019.60;18.8;67.00;24.8;12.7;10.8
19690808;7.6;2.3;0.0;0;0;2.0;14.7;1017.90;21.6;59.00;27.9;13.3;10.5
19690809;8.9;2.0;0.0;0;0;1.7;13.2;1014.80;23.4;49.00;30.4;13.8;12.0
19690810;7.0;2.1;0.0;0;0;1.0;11.6;1011.90;22.4;45.00;29.7;13.8;11.3
19690811;9.0;2.6;0.0;0;0;1.0;10.9;1010.30;22.0;43.00;28.8;12.5;9.5
19690812;11.8;4.9;6.3;1;0;5.7;12.3;1007.60;19.9;53.00;27.3;16.6;14.9
19690813;5.0;1.3;0.5;1;0;5.0;16.1;1009.90;17.5;80.00;21.1;15.2;14.8
19690814;6.6;1.7;0.2;1;0;6.3;16.0;1006.00;19.6;72.00;25.6;13.9;10.5
19690815;10.8;3.2;5.5;1;0;8.0;18.1;1001.90;18.5;85.00;22.6;16.2;10.5
19690816;8.5;4.1;7.2;1;0;8.0;17.9;1003.80;17.4;91.00;19.2;15.6;15.3
19690817;9.2;3.9;0.1;1;0;5.7;18.4;1013.10;18.1;87.00;22.3;16.6;16.0
19690818;8.0;2.8;0.0;0;0;4.7;15.5;1018.60;17.2;79.00;22.3;15.1;15.0
19690819;7.2;3.2;9.2;1;0;6.3;17.6;1016.60;17.5;89.00;20.5;14.3;13.0
19690820;13.0;3.6;9.1;1;0;5.7;16.1;1007.60;15.1;90.00;18.2;13.5;16.5
19690821;17.7;5.9;5.5;1;0;4.7;13.1;1004.60;13.6;83.00;17.7;10.5;10.9
19690822;11.1;4.7;15.6;1;0;7.0;12.0;1004.40;12.6;82.00;17.8;10.3;9.4
19690823;9.8;4.1;3.9;1;0;6.0;11.9;1003.50;13.0;80.00;16.1;10.6;10.0
19690824;11.5;5.7;13.6;1;0;7.7;15.1;1006.00;14.3;94.00;17.5;11.1;9.5
19690825;11.0;5.0;6.3;1;0;7.3;12.1;1007.40;13.5;78.00;17.7;11.4;11.1
19690826;11.9;3.4;13.4;1;0;7.7;12.3;1004.70;11.6;90.00;14.1;8.8;7.4
19690827;14.0;5.0;15.7;1;0;7.7;13.1;1003.60;13.1;86.00;17.4;10.2;8.9
19690828;12.5;4.6;32.7;1;0;7.7;13.9;1001.50;13.3;90.00;16.5;10.8;10.4
19690829;10.7;3.7;6.1;1;0;7.0;14.1;1005.90;15.5;81.00;19.6;12.6;12.4
19690830;8.1;3.0;0.0;1;0;7.3;14.1;1015.00;15.1;80.00;18.1;12.1;11.0
19690831;4.0;0.8;0.0;0;0;4.7;13.3;1020.70;14.1;83.00;19.8;8.0;7.2
19690901;6.7;1.8;0.0;1;0;5.3;13.6;1021.40;14.3;85.00;17.4;8.4;7.0
19690902;6.6;2.4;0.0;0;0;4.3;13.2;1019.80;13.7;82.00;18.0;12.2;12.0
19690903;8.4;3.0;0.0;0;0;1.7;12.0;1015.20;14.6;72.00;19.6;10.0;8.3
19690904;8.3;2.0;0.0;0;0;5.0;12.9;1015.80;14.1;78.00;19.3;11.1;9.0
19690905;6.7;1.6;0.0;0;0;0.7;12.3;1018.00;14.4;75.00;20.5;7.3;5.9
19690906;9.0;3.0;0.0;0;0;0.3;13.2;1019.40;15.4;75.00;21.4;8.7;7.2
19690907;8.9;3.2;0.0;0;0;1.3;14.3;1017.80;16.4;76.00;21.4;10.3;8.3
19690908;5.3;1.5;0.0;0;0;0.7;13.9;1014.00;16.7;75.00;23.6;9.7;7.5
19690909;9.8;1.9;4.0;1;0;3.7;15.7;1010.80;18.9;74.00;24.7;11.4;9.5
19690910;7.9;2.4;0.3;1;0;6.0;17.6;1010.20;17.6;85.00;22.4;16.0;14.5
19690911;9.8;4.3;0.0;0;0;0.7;16.5;1010.00;19.6;74.00;24.7;14.3;12.8
19690912;10.4;4.3;0.0;0;0;0.0;14.8;1006.40;21.6;59.00;26.9;15.5;12.3
19690913;8.8;3.4;0.0;0;0;1.3;16.8;1003.40;20.5;69.00;27.4;17.4;14.9
19690914;5.4;1.1;0.0;1;0;6.7;15.9;1001.40;19.1;74.00;25.7;11.8;9.7
19690915;6.0;2.2;0.0;0;0;8.0;17.1;1000.70;17.3;86.00;19.0;14.8;12.9
19690916;5.6;1.7;5.0;1;0;7.7;16.9;1003.90;17.7;83.00;20.7;16.3;15.3
19690917;4.7;1.2;4.2;1;0;8.0;16.8;1006.40;15.5;95.00;16.8;14.9;14.5
19690918;10.5;3.4;0.0;0;0;3.7;13.3;1008.00;13.9;80.00;19.1;11.7;13.0
19690919;8.2;3.0;0.0;0;0;0.3;8.9;1011.20;11.1;69.00;17.6;4.6;3.0
19690920;5.3;1.4;0.0;0;0;1.3;9.6;1012.80;10.2;78.00;17.0;3.4;1.5
19690921;11.2;5.0;0.5;1;0;8.0;14.4;1013.60;14.7;87.00;16.4;7.6;4.6
19690922;11.8;4.6;1.4;1;0;5.7;14.7;1017.90;13.4;89.00;17.1;10.6;14.7
19690923;5.5;1.3;0.0;0;0;3.3;10.1;1024.70;10.3;82.00;16.7;4.8;3.0
19690924;8.0;3.0;0.0;0;0;3.3;12.4;1020.80;15.4;74.00;21.6;6.4;4.2
19690925;9.0;3.6;0.0;1;0;2.0;14.1;1019.10;14.6;83.00;19.8;12.2;10.5
19690926;10.5;4.5;0.0;1;0;5.7;12.8;1018.20;14.6;76.00;19.0;12.4;9.5
19690927;11.8;5.1;2.6;1;0;6.3;11.6;1016.70;11.2;80.00;15.1;8.2;10.4
19690928;8.1;3.3;0.1;1;0;1.7;8.1;1017.20;10.4;68.00;15.5;3.9;1.5
19690929;7.2;2.4;1.2;1;0;8.0;12.8;1014.40;11.9;91.00;13.6;9.5;6.0
19690930;5.0;1.9;0.0;1;0;6.7;10.4;1011.40;10.1;82.00;13.5;8.4;8.5
19691001;16.0;4.3;0.1;1;0;6.7;8.3;1015.40;8.9;72.00;13.5;6.7;4.8
19691002;10.1;4.5;0.1;1;0;7.7;9.7;1016.60;10.4;79.00;11.9;4.2;2.4
19691003;8.1;4.0;0.7;1;0;7.7;14.4;1017.50;14.1;88.00;16.0;11.3;10.7
19691004;4.8;1.4;0.0;0;0;4.7;14.4;1020.30;13.3;90.00;18.0;11.0;9.3
19691005;8.8;2.4;0.0;0;0;0.3;12.5;1018.60;14.5;78.00;20.9;5.9;4.1
19691006;9.0;3.3;0.0;0;0;1.7;13.1;1019.00;15.4;75.00;22.0;11.6;8.8
19691007;7.1;3.7;0.0;0;0;5.7;14.8;1019.20;16.8;78.00;21.0;11.7;9.8
19691008;9.0;5.0;0.0;0;0;5.3;13.9;1020.30;17.3;70.00;23.0;13.7;12.7
19691009;6.7;2.1;0.0;0;0;2.0;11.7;1021.50;17.0;62.00;23.7;12.0;8.7
19691010;7.0;1.4;0.0;0;0;2.3;11.6;1020.30;12.0;83.00;20.5;6.3;3.4
19691011;7.0;2.1;0.0;0;0;2.7;13.5;1018.20;14.6;83.00;21.2;4.6;2.5
19691012;9.0;2.2;0.0;0;0;0.0;12.0;1013.50;12.4;83.00;18.3;8.3;5.8
19691013;8.9;5.0;0.0;0;0;0.0;10.7;1009.50;11.6;78.00;16.9;7.3;6.0
19691014;9.6;3.7;0.0;0;0;4.0;11.7;1009.40;15.4;69.00;20.5;8.8;7.0
19691015;5.1;1.9;0.0;0;0;1.7;11.7;1019.90;11.8;82.00;18.0;9.2;8.6
19691016;7.0;2.4;0.0;0;0;1.7;12.5;1021.50;13.3;82.00;19.5;6.5;3.9
19691017;6.0;2.4;0.0;0;0;0.7;11.6;1018.20;13.2;77.00;21.9;8.8;6.2
19691018;7.7;2.1;0.0;0;0;0.7;10.3;1011.50;11.4;77.00;19.0;4.3;1.8
19691019;5.7;1.3;0.0;0;0;1.3;10.5;1008.20;11.3;80.00;20.8;4.0;1.6
19691020;8.0;2.2;0.0;0;0;2.3;12.0;1010.00;13.7;75.00;21.4;8.6;4.6
19691021;3.3;0.8;0.0;1;0;5.3;14.0;1014.60;14.2;86.00;19.3;9.9;7.1
19691022;7.0;1.7;2.5;1;0;6.7;12.7;1015.50;13.8;80.00;18.0;9.8;6.3
19691023;8.1;2.7;2.7;1;0;7.0;14.3;1016.40;14.6;86.00;16.5;12.3;10.8
19691024;13.6;4.9;4.4;1;0;5.7;10.8;1014.60;11.3;78.00;15.4;8.3;9.7
19691025;10.1;4.1;4.2;1;0;7.0;10.5;1022.20;11.4;79.00;13.3;8.5;7.4
19691026;7.8;3.1;0.1;1;0;7.3;12.5;1028.60;12.0;87.00;15.3;9.6;9.7
19691027;6.5;2.8;0.0;1;0;8.0;12.8;1031.10;12.8;87.00;14.0;10.8;6.0
19691028;5.0;1.5;0.0;0;0;6.3;13.7;1023.20;12.9;91.00;15.4;11.4;11.0
19691029;13.4;3.6;0.6;1;0;7.0;10.0;1017.20;9.6;82.00;12.3;8.4;6.1
19691030;12.0;5.3;0.5;1;0;6.3;9.5;1017.80;8.9;84.00;10.7;5.9;3.5
19691031;11.1;5.1;0.0;1;0;8.0;11.3;1019.60;10.5;89.00;11.6;6.9;5.9
19691101;12.5;4.8;0.0;0;0;5.3;9.5;1015.90;9.6;79.00;11.4;8.7;7.6
19691102;13.0;6.5;0.0;0;0;5.0;10.4;1013.40;11.6;77.00;14.5;7.2;5.4
19691103;15.5;8.2;0.0;0;0;6.3;11.9;1011.60;14.3;72.00;15.5;11.9;11.5
19691104;20.0;8.0;8.3;1;0;7.3;10.7;1007.00;10.2;80.00;15.4;7.0;11.5
19691105;11.9;4.2;0.4;1;0;1.3;7.1;1019.60;5.4;78.00;9.8;2.8;1.4
19691106;6.0;2.5;0.0;0;0;3.0;6.5;1020.00;4.4;77.00;8.1;1.5;-0.7
19691107;16.3;7.2;1.9;1;0;7.3;6.5;995.50;5.3;74.00;6.7;2.0;-1.7
19691108;17.8;7.5;1.3;1;0;5.0;8.9;983.00;8.0;81.00;11.1;6.3;5.0
19691109;30.0;9.5;11.2;1;0;7.7;8.9;976.70;7.4;84.00;11.8;5.8;4.0
19691110;21.0;9.3;0.3;1;0;5.7;8.8;997.50;8.8;78.00;10.3;4.9;2.6
19691111;13.9;6.7;3.0;1;0;7.0;11.3;996.30;13.4;74.00;15.1;8.7;9.1
19691112;25.8;8.5;5.1;1;0;3.7;9.5;992.30;11.6;65.00;15.8;7.7;11.2
19691113;12.6;4.1;6.6;1;0;7.0;9.1;996.80;8.0;82.00;10.7;5.7;3.3
19691114;12.0;5.7;0.0;0;0;1.7;7.7;999.90;8.0;71.00;10.9;5.0;2.0
19691115;17.2;7.7;0.4;1;0;5.0;7.5;999.50;7.1;73.00;9.5;5.7;3.3
19691116;14.1;7.3;1.7;1;0;6.0;8.1;1002.80;8.4;76.00;10.3;5.0;3.0
19691117;17.8;6.0;2.2;1;0;6.3;7.7;998.80;5.4;84.00;10.7;4.4;5.5
19691118;16.3;6.8;0.5;1;0;4.7;6.1;1009.90;4.2;76.00;5.5;1.4;-0.7
19691119;17.4;7.4;0.1;1;0;8.0;10.8;1007.00;10.8;85.00;12.2;3.9;2.9
19691120;13.0;6.0;0.2;1;0;5.0;8.0;1008.20;7.7;72.00;12.2;4.9;8.7
19691121;8.6;4.5;0.0;1;0;7.0;8.7;1004.80;8.6;79.00;10.9;3.0;1.4
19691122;8.1;3.5;0.1;1;0;7.3;10.4;1002.20;9.8;85.00;12.0;8.3;7.0
19691123;5.9;1.8;11.7;8;0;6.3;10.9;1000.80;9.9;89.00;13.1;7.2;4.2
19691124;13.0;3.6;0.0;8;0;7.3;6.3;993.00;1.9;89.00;9.6;0.2;2.2
19691125;5.6;2.3;2.3;8;0;7.0;6.3;992.20;2.4;86.00;4.3;0.8;0.0
19691126;9.0;3.8;0.0;8;0;6.3;5.5;1001.60;1.4;80.00;2.5;0.3;-0.5
19691127;12.1;5.2;0.5;8;0;7.7;6.4;1008.00;3.1;86.00;4.5;-2.4;-3.0
19691128;22.9;7.1;3.8;8;0;6.3;6.7;998.30;2.7;86.00;6.8;-0.2;1.8
19691129;12.0;6.5;1.1;8;0;7.7;5.7;1007.90;0.5;88.00;2.4;-0.6;-0.6
19691130;5.5;2.1;0.0;7;0;8.0;5.9;1021.40;0.4;91.00;1.6;-0.5;-1.4
19691201;8.3;3.0;0.6;8;0;6.3;4.7;1023.80;-1.2;82.00;0.1;-1.7;-1.7
19691202;10.1;4.4;1.1;1;0;8.0;6.8;1013.60;2.6;95.00;4.0;-2.3;-3.4
19691203;9.5;4.2;11.3;8;0;7.3;7.6;994.80;3.7;95.00;6.6;2.5;1.8
19691204;9.0;2.8;0.0;0;0;5.0;4.8;1001.20;-0.1;74.00;3.0;-2.0;0.8
19691205;4.6;1.7;0.0;7;0;7.7;5.5;1009.80;-0.4;93.00;0.5;-4.4;-6.7
19691206;6.3;2.4;0.6;7;0;6.3;5.5;1008.00;-0.2;90.00;0.8;-1.8;-4.1
19691207;7.5;2.6;0.0;7;0;6.7;4.4;1013.90;-2.0;84.00;-0.2;-5.0;-7.3
19691208;6.9;3.0;0.6;8;0;7.7;4.9;1014.70;-0.3;85.00;1.1;-3.1;-4.6
19691209;6.0;1.6;0.0;0;0;3.0;5.1;1024.80;-1.0;85.00;2.7;-4.0;-6.8
19691210;4.0;0.8;0.0;0;0;2.3;3.9;1022.20;-4.8;89.00;-0.6;-7.7;-10.0
19691211;2.4;0.7;0.0;0;0;7.7;4.9;1017.40;-1.5;92.00;0.6;-9.5;-9.6
19691212;2.8;0.8;0.0;0;0;8.0;5.9;1016.60;1.0;89.00;1.9;-1.5;-1.8
19691213;6.8;3.4;0.0;8;0;8.0;5.5;1017.80;0.3;89.00;2.0;-0.8;-0.3
19691214;16.4;6.7;3.3;8;0;7.3;5.5;1008.00;0.6;84.00;2.2;-0.5;-0.5
19691215;15.1;6.4;6.6;8;0;8.0;6.3;987.40;1.8;92.00;2.8;-0.3;0.0
19691216;8.4;3.9;0.5;7;0;7.3;4.7;1002.20;-2.5;87.00;2.6;-4.2;0.0
19691217;5.8;1.9;0.0;0;0;4.7;3.5;1007.00;-5.3;85.00;-3.0;-9.1;-11.1
19691218;9.3;4.6;0.0;7;0;8.0;3.7;1008.00;-3.9;83.00;-3.0;-5.7;-5.6
19691219;11.4;2.6;0.0;0;0;3.3;3.1;1018.70;-6.4;79.00;-3.1;-8.2;-8.7
19691220;7.0;1.8;0.0;0;0;1.3;3.1;1020.00;-6.0;78.00;-2.8;-8.7;-10.8
19691221;15.0;7.3;1.0;1;0;7.3;2.9;1016.60;-5.6;75.00;-4.4;-8.2;-11.7
19691222;16.3;7.8;0.0;1;0;8.0;4.0;1005.20;-1.1;71.00;0.3;-4.6;-4.6
19691223;9.8;3.9;0.5;8;0;8.0;6.0;1011.60;1.4;90.00;3.0;-1.5;-2.4
19691224;8.3;4.2;0.2;1;0;8.0;6.9;1011.20;3.2;90.00;3.5;1.5;0.7
19691225;8.6;5.3;1.0;1;0;7.0;7.1;1005.00;4.2;84.00;5.3;3.2;1.6
19691226;6.7;1.3;0.0;0;0;7.0;6.3;1011.40;1.4;89.00;5.2;-1.0;0.2
19691227;6.3;2.6;0.0;0;0;2.7;4.5;1018.40;-2.8;87.00;0.5;-4.4;-5.5
19691228;6.9;3.2;0.0;0;0;7.3;4.0;1009.60;-3.0;83.00;-2.1;-6.2;-7.7
19691229;8.8;3.8;0.0;0;0;7.3;4.7;1003.90;-0.7;81.00;0.2;-2.7;-2.6
19691230;15.0;6.3;0.0;7;0;7.3;4.0;1003.50;-2.2;76.00;-0.8;-5.4;-6.8
19691231;11.7;6.0;0.0;7;0;7.7;3.1;1001.90;-6.8;79.00;-2.0;-8.4;-4.5
19700101;7.0;3.2;0.3;7;0.000;8.0;2.7;1001.20;-8.9;85.00;-7.8;-9.1;-9.0
19700102;11.8;5.9;2.1;8;0.000;8.0;5.1;997.00;-0.6;89.00;1.5;-9.2;-10.5
19700103;11.0;4.7;5.6;8;0.000;8.0;6.1;994.70;0.7;94.00;2.4;0.0;0.2
19700104;7.0;1.7;0.0;0;0.000;5.7;4.7;995.10;-3.4;95.00;0.3;-4.6;-8.4
19700105;6.8;3.3;0.5;7;0.000;7.3;4.4;989.90;-2.2;85.00;-1.3;-4.8;-5.2
19700106;10.0;5.6;2.1;7;3.800;7.0;4.9;999.00;0.1;81.00;1.7;-1.9;-3.6
19700107;11.8;3.3;0.0;0;1.000;4.7;5.1;1012.70;-1.4;89.00;1.0;-5.0;-1.1
19700108;16.7;5.4;7.6;8;0.200;5.7;3.6;1013.20;-1.5;68.00;0.0;-7.4;-13.2
19700109;17.9;9.3;0.8;1;1.200;5.7;5.3;1004.30;1.7;80.00;2.7;-1.5;-2.2
19700110;14.2;7.5;0.6;1;0.000;5.7;6.5;998.40;3.3;84.00;3.6;2.5;0.5
19700111;12.1;5.8;1.6;1;0.000;6.0;6.9;991.50;6.4;72.00;7.8;3.6;1.0
19700112;10.0;4.9;0.0;0;2.800;5.3;7.1;990.00;5.5;77.00;8.3;3.8;1.2
19700113;9.6;5.2;0.0;1;2.200;7.0;7.2;994.40;6.0;77.00;8.0;4.2;1.3
19700114;11.5;5.4;0.0;1;4.200;5.0;6.5;993.60;4.8;75.00;8.2;2.8;0.1
19700115;9.8;4.9;0.0;1;0.500;4.7;7.6;992.80;5.4;83.00;7.8;3.8;2.0
19700116;6.2;2.5;1.1;1;0.000;8.0;8.1;1001.20;4.9;94.00;6.4;2.2;0.5
19700117;4.3;1.3;0.1;1;0.000;8.0;7.1;1011.90;2.3;97.00;4.8;1.9;1.9
19700118;10.5;3.9;0.0;0;3.400;7.3;6.4;1015.60;3.4;81.00;5.5;1.7;1.5
19700119;6.8;2.7;0.0;0;0.000;8.0;5.7;1020.70;0.7;87.00;2.5;-0.1;-0.1
19700120;9.3;3.9;0.0;0;4.200;5.0;4.3;1017.90;-1.0;74.00;2.3;-3.3;-4.2
19700121;10.3;5.2;0.0;0;6.900;0.0;3.7;1015.50;-2.6;74.00;0.3;-5.2;-6.3
19700122;12.9;6.3;0.1;8;0.000;7.3;4.3;1012.00;-1.4;80.00;-0.6;-3.2;-4.9
19700123;15.8;6.7;4.5;8;0.000;5.3;5.9;1006.30;2.0;83.00;3.6;-1.0;-1.7
19700124;11.2;5.0;8.6;1;0.000;8.0;8.1;1002.00;4.8;94.00;5.5;1.4;0.2
19700125;10.6;5.9;5.1;1;0.100;7.7;8.8;1005.00;7.1;87.00;8.8;2.8;-0.8
19700126;10.0;3.2;18.9;1;0.000;8.0;9.9;1008.70;7.4;95.00;8.3;6.7;5.7
19700127;9.0;2.9;2.7;1;0.000;6.7;8.5;1013.50;4.9;93.00;7.3;3.2;5.3
19700128;5.0;1.6;0.0;0;0.600;4.3;6.8;1018.20;2.4;89.00;5.5;0.0;1.0
19700129;9.0;3.6;0.0;0;4.900;3.0;4.9;1010.70;1.3;75.00;5.2;-2.7;-4.6
19700130;9.0;3.6;5.7;7;0.000;8.0;5.3;1001.20;0.4;84.00;1.9;-0.4;-1.5
19700131;8.0;3.3;0.0;7;4.000;3.7;3.2;1017.90;-5.7;75.00;-0.3;-8.2;-4.9
19700201;14.8;6.0;0.0;1;7.200;0.0;2.8;1011.10;-5.8;70.00;-2.9;-9.1;-12.4
19700202;16.9;7.1;16.0;1;0.400;7.7;6.1;993.80;1.8;91.00;5.5;-6.4;-8.4
19700203;21.3;8.4;0.0;1;3.700;6.3;6.7;996.00;5.0;76.00;9.2;3.6;1.9
19700204;13.2;5.0;0.7;1;1.700;3.7;7.1;993.60;3.9;88.00;6.4;2.0;-1.4
19700205;7.8;3.3;17.3;8;0.000;8.0;6.9;992.20;2.8;88.00;5.5;1.0;0.3
19700206;9.9;4.0;0.0;7;2.200;7.0;4.8;1007.20;-0.4;82.00;1.7;-2.7;-2.3
19700207;18.2;6.5;3.7;1;0.200;5.0;5.7;998.30;2.7;80.00;4.7;-2.0;-4.9
19700208;15.0;6.7;7.9;1;3.900;6.7;6.9;996.20;5.0;80.00;7.0;1.7;0.3
19700209;18.2;6.2;4.1;8;3.500;5.7;6.9;990.80;4.8;79.00;7.4;2.5;2.7
19700210;13.6;5.0;3.6;8;0.200;7.0;6.3;992.80;1.5;91.00;4.0;0.2;-0.3
19700211;8.7;3.5;0.8;8;2.300;7.0;5.9;1001.80;1.4;86.00;4.3;0.2;-1.5
19700212;17.0;5.6;12.3;8;0.000;5.3;5.5;989.60;0.7;88.00;2.0;-0.7;-3.5
19700213;13.0;4.8;0.7;7;0.100;5.3;4.7;999.40;-3.4;90.00;0.6;-6.3;-0.8
19700214;9.8;2.9;0.0;7;3.100;6.3;3.7;1003.20;-2.8;75.00;0.6;-6.8;-14.2
19700215;8.5;2.7;3.0;7;6.700;4.3;3.1;1011.10;-5.4;79.00;-3.1;-10.3;-14.5
19700216;11.1;5.4;2.5;8;0.000;8.0;5.1;1006.30;-1.7;94.00;0.3;-6.4;-5.9
19700217;18.0;4.8;5.1;8;0.000;6.3;4.8;1003.50;-1.4;91.00;2.6;-9.6;-16.6
19700218;17.5;5.9;0.8;7;0.000;6.3;4.1;1009.90;-3.7;87.00;2.4;-5.1;-2.6
19700219;11.0;5.6;9.5;8;0.000;8.0;5.7;1012.30;0.7;91.00;2.2;-8.6;-11.9
19700220;16.3;7.7;2.3;8;1.500;6.0;6.3;1002.40;4.5;74.00;6.1;1.9;0.6
19700221;16.7;4.7;21.3;1;0.000;8.0;8.0;1000.80;5.7;91.00;8.4;2.2;0.5
19700222;19.7;7.0;5.6;1;0.000;8.0;10.5;997.50;9.4;91.00;10.5;8.2;6.5
19700223;22.8;6.7;2.8;1;2.900;5.0;7.1;1004.30;4.8;81.00;10.0;3.0;3.7
19700224;8.7;3.0;1.8;1;0.900;6.7;7.2;1006.70;4.0;88.00;7.2;2.1;-0.5
19700225;7.5;3.3;3.0;8;3.800;7.0;6.5;1009.20;3.0;85.00;6.3;1.5;-0.5
19700226;7.5;2.4;0.2;8;1.200;7.0;5.9;1014.20;1.8;84.00;4.4;0.3;-1.4
19700227;12.2;4.5;0.2;7;0.800;7.3;4.7;1017.40;-0.5;77.00;1.1;-1.6;-1.9
19700228;9.0;3.8;0.1;7;3.500;6.7;3.9;1021.40;-1.6;70.00;0.0;-3.6;-2.9
19700301;14.0;4.6;9.1;8;0.000;7.7;5.2;1014.20;0.0;87.00;2.1;-5.6;-7.5
19700302;14.8;5.6;1.0;8;4.000;6.7;5.7;994.30;1.5;82.00;4.8;-1.4;0.6
19700303;7.2;3.1;0.9;8;2.600;7.0;5.7;993.40;1.2;86.00;5.0;-0.4;-2.1
19700304;9.6;3.7;0.1;7;2.300;4.7;5.3;992.80;0.5;83.00;3.1;-1.3;-3.7
19700305;12.2;4.9;0.0;7;1.200;6.0;4.7;997.10;0.3;77.00;2.4;-3.6;-5.4
19700306;16.4;5.9;4.9;7;2.400;7.0;5.7;1005.60;0.8;86.00;4.9;-0.8;-2.1
19700307;8.4;4.0;3.8;7;1.600;3.7;4.9;1006.60;0.6;78.00;3.4;-1.8;-6.8
19700308;9.1;4.2;3.2;7;0.000;7.7;5.5;1001.10;-0.8;95.00;0.4;-1.8;-4.3
19700309;8.5;3.1;2.1;7;8.800;3.7;4.1;1009.50;-0.1;71.00;3.8;-3.7;-5.9
19700310;5.0;1.5;0.0;0;0.000;5.0;5.6;1013.20;0.1;89.00;2.6;-1.6;-4.2
19700311;9.0;2.6;0.0;0;9.400;0.3;4.4;1013.80;0.8;73.00;5.5;-6.2;-9.0
19700312;10.5;5.2;0.0;0;4.000;5.7;5.5;1007.50;4.1;66.00;8.7;0.4;-2.5
19700313;7.8;2.5;0.0;0;7.100;2.3;4.9;1011.80;3.5;66.00;10.9;-1.2;-3.3
19700314;11.9;5.4;0.0;0;4.900;4.0;5.5;1014.60;2.0;75.00;5.1;0.4;-1.1
